Compound	HMDB	Kegg
CPD-23330		
CPD-7775		
LUTEOLIN-7-O-NEOHESPERIDOSIDE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB05799</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12630</a>
CPD-7821		
CPD-20372		
CPD-9143		
CPD-24205		
CPD-11534		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20145</a>
CPD-18831		
1-INDANOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB59601</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01710</a>
CPD-21252		
PIPERIDINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34301</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01746</a>
CPD-20253		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09698</a>
CPD-19545		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17413</a>
CPD66-59		
CPD-23760		
CPD-12251		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15820</a>
CPD-14364		
CPD-13638		
CPD-8953		
CPD-24155		
CPD-54	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03929</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05239</a>
CPD-24699		
CPD-13220		
CPD-19604		
CPD-20474		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21733</a>
CPD-10210		
CPD-9859		
CPD-8505	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB0000847</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01601</a>
CPD0-2264		
CPD-14197	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14622</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06820</a>
CPD-2462		
CPD-26392		
CPD-21876		
CPD-18611		
CPD-14892		
CPD-3021		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15525</a>
PARA-MENTHANE-38-DIOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36145</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02904</a>
CPD-944		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21150</a>
CPD1A0-6106		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18356</a>
CPD-9528		
CPD-20498		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14176</a>
CPD-23585		
CPD-9619		
CPD-15217		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11871</a>
CPD-18249		
CPD-26507		
CPD-12447	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36634</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01604</a>
CPD-20953		
CPD-15782	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30062</a>	
CPD-659		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00826</a>
CPD-18455		
CPD-7966		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16314</a>
CPD-15968		
CPD-22595		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08853</a>
CPD-25964		
Z-2-2-FURYL-3-5-NITRO-2-FURYLACRYL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04622</a>
CPD-7238	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06893</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05452</a>
CPD-10380		
CPD-22724		
CPD-24624		
CPD-16182		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20888</a>
2-HYDROXYFORMONONETIN	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31720</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02920</a>
CPD-23792		
CPD-5941		
CPD0-2054		
CPD-20400		
CPD0-2545		
CPD-9224	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14851</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07334</a>
DESMETHYLSULOCHRIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15504</a>
CPD-16738		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20527</a>
CPD-20377		
CPD-8886	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03642</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13884</a>
CPD-18161		
CPD-13965		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12383</a>
CPD-9230		
CPD-2752	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01204</a>	
CPD-19161		
CPD0-1609		
X-DARA-HEX-2:6_2:KETO		
CPD-8237		
CPD-23582		
CPD-4202		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16428</a>
CPD-18954		
CPD-16941		
CPD-14797		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20477</a>
CPD-26443		
CPD-16578		
CPD-26411		
CPD-25818		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06439</a>
X-LARA-PEN-1:5		
CPD-4461		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10387</a>
CPD-9136		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18317</a>
17-ALPHA-HYDROXYPROGESTERONE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00374</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01176</a>
CPD-10894		
CPD-19462		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21659</a>
P-NITROPHENYL-ACETATE		
CPD-18377		
CPD-8950		
CPD-25038		
CPD-3739		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16511</a>
CPD-26459		
CPD-10430		
CPD-17968		
CPD-9472		
CPD-4622		
CPD-24118		
CPD-498		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11854</a>
CPD-26209		
THR	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00167</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00188</a>
CPD-9464		
CPD0-1321		
L-XYLONO-14-LACTONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02994</a>
O-SUCCINYL-L-HOMOSERINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01118</a>
CPD-25930		
CPD-17624		
CPD-21828		
CPD-15515		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07591</a>
CPD-20416		
CPD-11018		
CPD-16599		
CPD-14147	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB32624</a>	
CPD-12855		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19794</a>
CPD-8653	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29407</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08539</a>
CPD-25090		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D01289</a>
CPD-13909		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18871</a>
CPD-20747		
CPD-23512		
CPD0-2287		
CPD-16716		
CPD0-2072		
CPD-9488		
CPD-19246		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21414</a>
MANNITOL-1P	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01530</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00644</a>
BUTYRYL-COA	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01088</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00136</a>
CPD-11597		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07088</a>
CPD-802		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03049</a>
CPD-6743		
CPD-9374		
CPD0-1108		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16639</a>
CPD-21770	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06817</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05802</a>
CPD-18262		
CPD-23570		
N-SUCCINYLLL-2-6-DIAMINOPIMELATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12267</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04421</a>
CPD-12374		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17938</a>
DESMOSTEROL-CPD	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02719</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01802</a>
BETA-CYCLOPIAZONATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02899</a>
CPD-23402		
CPD-21119		
CPD-22949		
CPD-25557		
CPD-9213		
CPD-15691		
CPD-22004		
CPD-13966		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12384</a>
CPD-1492	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02387</a>	
CPD-18859		
CPD-14916		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05278</a>
8-APO-BETA-CAROTENOL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06733</a>
CPD-15799		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05317</a>
CPD-10458		
CPD-14730		
PANTETHEINE-P	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01416</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01134</a>
CPD-4023		
3-ADP-2-PHOSPHOGLYCERATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03673</a>
THREOSE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06463</a>
CPD-19976		
CHLOROACETOL-PHOSPHATE		
A-HEX-1:5		
CPD-8271	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31092</a>	
CPD-14799		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20478</a>
CPD-24832		
CPD-229		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11870</a>
CPD0-2135		
CPD-25604		
2-FLUOROBENZOATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02359</a>
CPD-25667		
CPD-14700		
CPD-23964		
CPD-19119		
CPD-17307		
CPD-25148		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D03716</a>
CPD-20422		
CPD-13620		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20403</a>
CPD1G-130		
CPD-16566	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB10207</a>	
CPD-19111		
CPD-1006		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>c06580</a>
CPD-17100		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20899</a>
CPD66-55	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03876</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04742</a>
CPD-16747		
CPD1G-768		
CPD-24235		
CPD-3614		
CPD-12097		
CPD-18757		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21185</a>
CPD-15305		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05926</a>
CPD-21333		
CPD-20429		
ZYMOSTEROL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06271</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05437</a>
CPD-14964		
CPD-16156		
A-DGAL-HEX-1:5_6:A		
CPD-14174		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06383</a>
CPD66-96	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02034</a>	
CPD-210	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB05768</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02993</a>
CPD-22559		
CPD-17211	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14819</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06573</a>
CPD-17852		
CPD-24091		
CPD-25733		
CPD-20655		
CPD-8771		
CPD-26256		
CPD-13288		
CPD-20131		
ADENOSINE_DIPHOSPHATE_RIBOSE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01178</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00301</a>
CPD-10395		
CPD-5742	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15440</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07536</a>
CPD-12617		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15885</a>
CPD-14883		
CPD-25731		
CPD-15586		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20589</a>
N-FERULOYLGLYCINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB59747</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02564</a>
2-OXOPROPYL-COM		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11497</a>
CPD-12163		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10417</a>
CPD-14876		
CPD-22733		
CPD-21936		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12177</a>
CPD1F-97		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11860</a>
CPD-13951		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06616</a>
ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03208</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02198</a>
CPD-12255		
DIHYDROMACARPINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05316</a>
INDOLE-3-ACETYL-GLU	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38665</a>	
CPD-21412		
CPD-17714		
CPD-21118		
CPD-942		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D03777</a>
CPD-4567		
CPD-9317	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB40557</a>	
CPD-17660		
CPD-843	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29596</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13827</a>
CPD-19502	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38624</a>	
CPD66-110		
BETA-D-GLUCOSYL-14-N-ACETYL-D-GLUCOSAMI		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04830</a>
CPD-19754		
CPD-18809		
CPD-24157		
CPD-19759		
CPD-1834		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04554</a>
RX		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01322</a>
CPD-19396		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03753</a>
CPD-18786		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21367</a>
CPD-595		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03047</a>
CPD0-919		
CPD-8688		
CPD-9099		
CPD-16175	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04078</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05640</a>
CPD-13756		
CPD-11899		
CPD-21370		
CPD-21522		
CPD-12418		
CPD-9319		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10793</a>
CPD-22295		
CPD-19076		
CPD-12850		
CPD-26273		
CPD0-1445		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20958</a>
MALONATE-S-ALD	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11111</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00222</a>
ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04901</a>
CPD0-1656		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D01791</a>
CPD-9639		
CPD-2187		
CPD0-1052		
CPD-12937		
PSICOSELYSINE		
CPD-15929		
CPD-9834		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09285</a>
CPD-16577		
IMIDAZOLE-PYRUVATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03277</a>
CPD0-1338		
CPD-26223		
CPD-23376		
X-DARA-PEN-1:4		
CPD-10058		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19083</a>
CPD-25402		
CPD-37		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04053</a>
CPD-18749	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62397</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14453</a>
12-DIHYDROXYDIBENZOTHIOPHENE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06722</a>
CPD-8751		
CPD-12906	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60399</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16471</a>
CPD-24199		
CPD-19695		
3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33798</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07350</a>
CPD-24765		
CPD-13353		
CPD-7225		
CPD-7989	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB35688</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17277</a>
MALONYL-COA	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01175</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00083</a>
2F1INDANONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07719</a>
CPD-15077		
2-AMINOBENZENESULFONATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06333</a>
CPD-23706		
CPD-18454		
CPD-7633		
CPD-24740		
VANILLYL_MANDELATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00291</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05584</a>
CPD0-930		
CPD-19108		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21413</a>
CPD-21800		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22079</a>
CPD-26432		
CPD-21193		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18672</a>
CPD-19771		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21491</a>
CPD-12996		
CPD-16565		
CPD-25629		
CIS-12-DIHYDROXY-12-DIHYDRODIBENZOTHIO		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06721</a>
12-OXO-TRANS-10-DODECENOATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB37326</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16309</a>
CPD-8189		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02536</a>
CPD-22514		
CPD-23705		
CPD-1861		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16516</a>
VANILLATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00484</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06672</a>
CPD-16873		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20847</a>
CPD-8647	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33723</a>	
CPD-24152		
CPD-1881		
CPD-25768		
CPD-14230		
CPD-21562		
CPD-24460		
VINYL-CHLORIDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06793</a>
CPD-24838		
CPD-16456		
45-CIS-DIHYDROXY-12-DITHIACYCLOHEXANE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06484</a>
CPD-13850		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19964</a>
CPD-23525		
CPD0-1224		
CPD-7994	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60253</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06178</a>
CPD-720		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15801</a>
CPD-21624		
CPD-9231	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15536</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06665</a>
SHIKIMATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03070</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00493</a>
CPD-15202		
CPD-19295		
CPD-10204	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31859</a>	
CPD-24448		
CPD-22052		
CPD-17599		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21183</a>
CPD-8891		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02912</a>
CPD-24319		
CPD-15752		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12026</a>
CPD-23437		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14696</a>
CPD-15523		
CPD-25220		
CPD-690	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01083</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06506</a>
CPD-17358		
CPD-17672		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15937</a>
CPD-18145		
CPD-20419		
CPD-22531		
CPD-22352		
CPD-17681		
CPD-14723	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06497</a>	
BENZOYLCOA	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02252</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00512</a>
CPD-11636		
CPD-16992		
CPD-25692		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19445</a>
CPD-19964		
CPD-9139		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19560</a>
CPD-4183		
ARISTOLOCHENE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02004</a>
CPD-23518		
CPD-22090		
CPD-10906		
2CH2-3CH3-SUCC		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02295</a>
CPD-15092		
CPD0-2474		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04899</a>
CPD-24599		
CPD-19859		
IODOACETATE		
CPD-15		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06597</a>
CPD-581	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01888</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03134</a>
CPD-22084		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07253</a>
GLYCERALD		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00577</a>
CPD0-2089		
CPD-294	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60348</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02222</a>
CPD-20828		
CPD-7247	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11618</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15492</a>
FORMYL-ISOGLUTAMINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16674</a>
CPD-26193		
CPD-744		
CPD-3141	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03217</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06563</a>
CPD-24313		
CPD-12970		
CPD-21306		
CPD-13994		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09859</a>
CPD-545		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02704</a>
CPD-20347		
CPD-1091	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01005</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00603</a>
CPD0-2356		
CPD-18003		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21175</a>
CPD-25102		
CPD-20499		
CPD-25863		
CPD-13854	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02007</a>	
CPD-24646	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB0004669</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14766</a>
CPD-9386		
CPD-10883		
CPD-18819		
CPD-18553		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21703</a>
CPD-26359		
CPD-24444		
CPD-719	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34423</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15793</a>
CPD-19993		
CPD-5621	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12296</a>	
CPD-18705		
CPD-7421	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02268</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15981</a>
CPD-20368		
CPD0-1651		
ARSENATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12190</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01478</a>
CPD-8261		
CPD-12960		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18638</a>
CPD-21589		
CPD-8385	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB09227</a>	
CPD-12846	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB40215</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19757</a>
CPD-17107		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21010</a>
CPD1I0R-6		
CPD-14841		
CPD-12331		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20632</a>
CPD-13956		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12446</a>
CPD-24612		
CPD-13949		
CPD-20757		
CPD-23854		
CPD-24656	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB0010214</a>	
CPD-19361		
CPD-25284		
CPD-8306		
CPD-9369		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17366</a>
CPD-9805		
CPD-23393		
CPD-12726		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10184</a>
CPD66-109		
CPD-14155		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17583</a>
CPD-3687	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00991</a>	
CPD-16805		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16890</a>
OXIDIZED-PHOTINUS-LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03797</a>
CPD-26228		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05473</a>
CPD-46	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06834</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04079</a>
CPD-16	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB13675</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>c02183</a>
CPD-22793		
CPD-26456		
CPD-25846		
CPD-13788		
H2CO3	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03538</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01353</a>
CPD-23737		
CPD-6741		
CPD-1008		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>c06582</a>
