Compound	HMDB	Kegg
ALPHA-HYDROXY-915-DIOXOPROSTANOATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02776</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04671</a>
CPD-16657		
CPD-25452		
CPD-25738		
CPD0-2399		
CPD-19873		
CPD-23261		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18794</a>
CPD-22336		
DITP	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03537</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01345</a>
CPD-20844		
CPD-17236		
CPD-12464		
CPD-25938		
CPD-18957	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB40253</a>	
ISOCHROMANONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07728</a>
CPD-20015		
CPD-26393		
CPD-12237		
KDO-8P		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04478</a>
CPD-12063		
CPD-16526		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05678</a>
CPD-21836		
CPD-14554		
CPD-24433		
CPD-8228	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30962</a>	
CPD-14670		
CPD-19404		
CPD-1075	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04072</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05627</a>
CPD-24755		
CPD-24528		
CPD-12209	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30840</a>	
CPD-16581	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00505</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17737</a>
CPD-24971		
CPD-22547		
CPD-11952		
CPD-13470		
CPD-26098		
CPD-22898		
CPD-20412		
CPD-24954	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03418</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D09007</a>
CPD-19080		
CPD-21263		
CPD2B4Q-17		
CPD-18303		
CPD-13572		
CPD1F-420		
CPD-10552	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02163</a>	
CPD-8094		
CPD-7868		
CPD-13936		
CPD1A0-6177		
CPD-24213		
CPD-17755		
CPD-20446		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21726</a>
IDP	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03335</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00104</a>
4-hydroxy-2-1H-quinolone		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16716</a>
CPD-14935		
CPD-18919		
CPD-7988	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38380</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11623</a>
CPD-13453		
CPD-8168		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13871</a>
CPD0-1133	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB13000</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>G00689</a>
HYDROXYL-GROUP		
CPD-8490	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11623</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12307</a>
CPD-21017		
1-CARBOXYCYCLOHEXANOYL-COA		
CPD-18060		
TETRACHLOROETHENE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41980</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06789</a>
CPD-7084		
CPD-21433		
CPD-11872		
CPD-14769		
CPD-7767		
CPD-22108		
CPD-18729		
CPD-14951		
CPD-25251		
CPD-23219		
CPD-18453		
CPD-26057	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB0029656</a>	
CPD-23645		
CPD-8694		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06087</a>
CPD66-65	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02294</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18179</a>
CPD-22034		
CPD-26061		
CPD-18168		
1-34-DIMETHYLPHENYLETHANE-12-DIOL		
CPD-4124		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11523</a>
CPD-8690		
CPD-5661		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08590</a>
CPD-13875		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20177</a>
CPD-7876	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33177</a>	
XYLITOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02917</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00379</a>
CPD-19095		
CPD0-1040	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03950</a>	
CPD-22201		
CPD1R65-5		
CPD-10728		
PHOTINUS-LUCIFERIN	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29713</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02740</a>
CPD-26144		
CYCLOHEXANONE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03315</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00414</a>
CPD0-2336		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14701</a>
CPD-25813		
CPD-20874		
CPD-18328		
CPD-20911		
CPD-19586		
CPD0-1057		
CPD-3762	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03192</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04051</a>
CPD-8124	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB59640</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21486</a>
CPD-17630		
CPD-17560		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21159</a>
CPD-9561	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34180</a>	
CPD-25785		
COPROPORPHYRINOGEN_III	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01261</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03263</a>
CPD-863		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>c03448</a>
CPD-20246		
CPD-8734	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38168</a>	
CPD-11523		
CPD-10166		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20502</a>
CPD-21327		
CPD-19535		
CPD-19491		
CPD-20034		
CPD-25932		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16308</a>
4-FUMARYL-ACETOACETATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01268</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01061</a>
ANTHRANILATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01123</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00108</a>
CPD-17522		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21164</a>
16-HYDROXYTABERSONINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11643</a>
CPD-19121		
CPD-22832		
CPD-20375		
CPD-7199		
CPD-15756		
CPD-14879		
CPD-17311		
CPD-25490		
CPD-22526		
CPD-455		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03996</a>
CPD-14705		
CPD-20229		
CPD-15818		
CPD-25798		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12272</a>
CPD-12614		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15879</a>
CPD-24025		
CPD-17006		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06814</a>
CPD-14779		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02669</a>
CPD-534		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04563</a>
CPD-15033		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16284</a>
CPD-25483		
CPD-23847		
CPD-19296		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11253</a>
CPD-4403		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15510</a>
CPD-14777		
CPD-25694		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10910</a>
CPD-21340		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04145</a>
CPD-23346		
CPD-25855		
CDP-ABEQUOSE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01788</a>
CPD-3194	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01424</a>	
CPD-25589		
CPD-12677		
CPD-21915		
CPD-15678		
CPD-18072		
CPD-10837		
CPD-25006		
