Compound	HMDB	Kegg
SELENOHOMOCYSTEINE	<a href='http://www.hmdb.ca/metabolites/HMDB04119'>HMDB04119</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05698'>C05698</a>
CPD-9097		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18152'>C18152</a>
CPD0-1567		
CPD-18890		
CPD-9568		
CPD-9104		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11851'>C11851</a>
CPD-23413		
CPD-7062		
CPD-19529		
CPD-10296		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18064'>C18064</a>
CPD-11621		
S-FORMYCINYLHOMOCYSTEINE		
CPD-9095		
CPD-18666		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21192'>C21192</a>
CPD0-1541		
CPD-7061		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18021'>C18021</a>
CPD-677		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03015'>C03015</a>
CPD-22520		
CPD-18648		
CPD-11229		
ISOWILLARDIINE	<a href='http://www.hmdb.ca/metabolites/HMDB30376'>HMDB30376</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08289'>C08289</a>
CPD-9757		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08292'>C08292</a>
CPD-601		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03431'>C03431</a>
CPD-21990		
CPD-17095		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21026'>C21026</a>
CPD-11226		
INDOLE-3-ACETYL-GLN	<a href='http://www.hmdb.ca/metabolites/HMDB13240'>HMDB13240</a>	
CPD-9596		
CPD-311		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02207'>C02207</a>
CPD-21707		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20978'>C20978</a>
CPD-15816	<a href='http://www.hmdb.ca/metabolites/HMDB29437'>HMDB29437</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01683'>C01683</a>
ADENOSYL-HOMO-CYS	<a href='http://www.hmdb.ca/metabolites/HMDB00939'>HMDB00939</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a>
FRUCTOSELYSINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16488'>C16488</a>
CPD-9583		
CPD-8266		
CPD-307		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04210'>C04210</a>
CPD-16395		
CPD-15493		
CPD-16372		
CPD-13483	<a href='http://www.hmdb.ca/metabolites/HMDB30397'>HMDB30397</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12033'>C12033</a>
CPD-16360		
3-HYDROXY-2-OXINDOLE-3-ACETYL-ASP		
CPD-16396		
SELENOMETHIONINE	<a href='http://www.hmdb.ca/metabolites/HMDB03966'>HMDB03966</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05335'>C05335</a>
CPD-16361		
CPD0-1568		
CPD-16371		
CPD-9573		
CPD-22029		
CPD-23414		
CPD-16366		
CPD-19543		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11345'>C11345</a>
CPD-8446		
CPD-16390		
CPD-16368		
CPD-16392		
CPD-10821		
CPD-11210		
CPD0-1025		
CPD-8369		
13-DIBROMOPROPAN-2-ONE		
CPD-8368		
CPD-9852		
CPD-8868		
CPD-16018		
CPD-9864	<a href='http://www.hmdb.ca/metabolites/HMDB06251'>HMDB06251</a>	
CPD-12221	<a href='http://www.hmdb.ca/metabolites/HMDB31524'>HMDB31524</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18447'>C18447</a>
3-OCTAPRENYL-4-HYDROXYBENZOATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05809'>C05809</a>
NONAPRENYL-4-HYDROXYBENZOATE	<a href='http://www.hmdb.ca/metabolites/HMDB32488'>HMDB32488</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03885'>C03885</a>
CPD1G-185		
CPD-9318	<a href='http://www.hmdb.ca/metabolites/HMDB60388'>HMDB60388</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18131'>C18131</a>
CPD0-1304		
2-BROMOETHYLAMINE		
CPD-8869		
CPD-20564		
CPD-12287		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13645'>C13645</a>
CPD-21998		
CTAB		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11275'>C11275</a>
CPD-11251		
CPD-22028		
CPD0-1343		
3-BROMOPYRUVATE		
CPD-9077		
CPD-8331		
12-DIBROMOETHANE	<a href='http://www.hmdb.ca/metabolites/HMDB60334'>HMDB60334</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11088'>C11088</a>
CPD-16352	<a href='http://www.hmdb.ca/metabolites/HMDB11768'>HMDB11768</a>	
CPD-22036		
CPD-8867		
CPD-13405		
CPD-16364		
N-BROMOSUCCINIMIDE		
CPD-22055		
CPD-12133		
CPD-22034		
CPD-16387		
CPD1G-130		
BROMOACETATE		
CPD-16353	<a href='http://www.hmdb.ca/metabolites/HMDB11771'>HMDB11771</a>	
CPD66-40	<a href='http://www.hmdb.ca/metabolites/HMDB11760'>HMDB11760</a>	
CPD-19752		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16473'>C16473</a>
CPD-22035		
CPD-10877		
CPD-16388		
CPD0-1487		
CPD-16363		
CPD-10878		
CPD-10613		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16472'>C16472</a>
CPD-18912		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16485'>C16485</a>
CPD-10876		
CPD-12402		
CPD-279		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03585'>C03585</a>
CPD-12393		
CPD-18472		
CPD-12405		
CPD-10849	<a href='http://www.hmdb.ca/metabolites/HMDB60368'>HMDB60368</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18309'>C18309</a>
CPD-12396		
CPD-10621		
CPD-12399		
CPD-22713		
CPD-12390		
CPD-17024		
CPD-10846		
CPD-1113		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04248'>C04248</a>
25-DICHLORO-CISCIS-MUCONATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07095'>C07095</a>
CPD66-45		
CPD-20569		
CPD-16051		
CPD-10898		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07102'>C07102</a>
CPD-10843		
14-DICHLOROBENZENE-DIHYDRODIOL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07093'>C07093</a>
CPD-9155		
CPD-19733		
CPD-15409		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20608'>C20608</a>
CPD-10655		
CPD-18478		
CPD-13246		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21104'>C21104</a>
CPD-10853		
CPD-10637	<a href='http://www.hmdb.ca/metabolites/HMDB60363'>HMDB60363</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12835'>C12835</a>
CPD-614		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02661'>C02661</a>
CPD-18473		
CPD-12677		
CPD-8404		
CPD-10850		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18308'>C18308</a>
CPD-10631		
CPD-23531		
CPD-10847	<a href='http://www.hmdb.ca/metabolites/HMDB60345'>HMDB60345</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18304'>C18304</a>
2-TRANS6-TRANS-FARNESOL	<a href='http://www.hmdb.ca/metabolites/HMDB04305'>HMDB04305</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01126'>C01126</a>
CPD-8334	<a href='http://www.hmdb.ca/metabolites/HMDB12359'>HMDB12359</a>	
25-DICHLOROHYDROQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06600'>C06600</a>
2-HYDROXY-2-METHYLPROPANENITRILE	<a href='http://www.hmdb.ca/metabolites/HMDB60427'>HMDB60427</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02659'>C02659</a>
CPD-20928		
CPD-16149		
CPD-22476		
CPD-11020		
CPD-10844	<a href='http://www.hmdb.ca/metabolites/HMDB60346'>HMDB60346</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18305'>C18305</a>
2-CHLOROMALEYLACETATE	<a href='http://www.hmdb.ca/metabolites/HMDB60347'>HMDB60347</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06329'>C06329</a>
CPD-9156		
CPD-19734		
CPD-16022		
CPD-10841		
CPD-8933		
CPD-8413		
CPD-13247		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21105'>C21105</a>
CPD-10861		
