Compound	HMDB	Kegg
CPD-262	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12206</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03691</a>
CPD-22268		
CPD-18062		
CPD-20726		
CPD-10737		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21384</a>
CPD-17394		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22172</a>
CPD-18464		
CPD-16781		
CPD-10755		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20083</a>
CPD-14831		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21590</a>
CMP-KDO		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04121</a>
CPD-14469		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20438</a>
CPD-23864		
CPD-13080	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB35282</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10822</a>
CPD-13167		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20419</a>
CPD-11775		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16724</a>
CPD-3732	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62560</a>	
CPD-12826	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00121</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00504</a>
CPD-24588		
CPD-9006		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16141</a>
CPD-24589		
CPD-20151		
6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11135</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05356</a>
CPD-20097		
5Z8Z10E14Z-12S-12-HYDROPEROXYICOS	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04243</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05965</a>
CPD-20080		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21676</a>
CPD66-54		
CPD-18498		
5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04244</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05966</a>
CPD-15031		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20486</a>
CPD66-55	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03876</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04742</a>
CPD-13864		
CPD-22263		
CPD-13268		
CPD66-51	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04385</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06314</a>
CPD-11377	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34939</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19736</a>
5Z9E11Z14Z-8S-8-HYDROPEROXYICOSA-TETRAEN	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04699</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14823</a>
CPD-9527		
CPD-15850		
CPD-8808		
CPD66-56	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB05082</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06315</a>
CPD-8791		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20273</a>
CPD66-52	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62294</a>	
CPD-8748	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB37060</a>	
CPD-12414		
CPD-8246	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB35992</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16775</a>
CPD-12411		
CPD-7989	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB35688</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17277</a>
CPD-12408		
CPD-4703		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12142</a>
CPD-12415		
CPD-22153		
CPD-12412		
CPD-20914		
CPD-12409		
CPD-20169		
CPD-12416		
CPD-20148		
CPD-12413		
CPD-20094		
CPD-12410		
CPD-18384		
CPD-14799		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20478</a>
CPD-13861		
CPD-12891		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19734</a>
CPD-11504	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34997</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09723</a>
CPD-10759	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36197</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09621</a>
CPD-9524		
CPD-8804		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20275</a>
CPD-8788	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38205</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16815</a>
CPD-8745		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19747</a>
CPD-8243		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20180</a>
CPD-4662		
CPD-21667		
CPD-20911		
CPD-20165		
CPD-20740		
CPD-20162		
CPD-20738		
CPD-20145		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09688</a>
CPD-20739		
CPD-20091		
CPD-18598		
CPD-18381		
CPD-14796		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20476</a>
CPD-13786		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19974</a>
CPD-13616		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19938</a>
CPD-12881		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19738</a>
CPD-11432		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09664</a>
CPD-3713		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02354</a>
CPD-10756		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18245</a>
CPD-3725	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11640</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02355</a>
CPD-9412		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19677</a>
CPD-8801		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09749</a>
CPD-8776	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB59695</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09630</a>
CPD-24758		
CPD-8739	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36413</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09647</a>
CPD-24754		
CPD-8240		
CPD-24759		
CPD-7556		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20307</a>
CPD-24755		
CPD-26051		
CPD-24756		
CPD-21664		
CPD-12945		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12394</a>
CPD-20470		
CPD-20158		
CPD-20142		
CPD-20088		
CPD-18510		
CPD-1722	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB35084</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06394</a>
CPD-14376		
CPD-13402		
CPD-11421	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36667</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20262</a>
CPD-15765		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18635</a>
ARISTOLOCHENE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02004</a>
CPD-15528		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18637</a>
CPD-9370		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19619</a>
CPD-15809		
CPD-8798	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB37784</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20272</a>
CPD-15785		
CPD-8762		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20804</a>
CPD-15529		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18639</a>
CPD-8734	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38168</a>	
CPD-15786		
CPD-8237		
CPD-15541		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18634</a>
CPD-4746		
CPD-15795		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18633</a>
CPD-26048		
CPD-7147		
CPD-21656		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22045</a>
CPD-7146		
